year,team,strength_of_schedule
2019,UConn,-13.4
2019,UNLV,-9.2
2019,Utah,6.5
2019,Utah St.,-4.9
2019,UTEP,-17.5
2019,UTSA,-13.8
2019,Vanderbilt,-1.7
2019,Virginia,3.1
2019,Virginia Tech,-0.4
2019,Wake Forest,-1
2019,Washington,4.9
2019,Washington St.,3.8
2019,West Virginia,1.6
2019,Western Ky.,-7.7
2019,Western Mich.,-8.3
2019,Wisconsin,15.1
2019,Wyoming,-6.4
